Upper Tier Local Authorities Code,Upper Tier Local Authorities,Type of central heating in household (13 categories) Code,Type of central heating in household (13 categories),Observation
W06000022,Newport,11,Two or more types of central heating (not including renewable energy),5403
W06000022,Newport,12,Two or more types of central heating (including renewable energy),256
W06000023,Powys,-9,Does not apply,0
W06000023,Powys,1,No central heating,1076
W06000023,Powys,2,Mains gas only,23434
W06000023,Powys,3,Tank or bottled gas only,2622
W06000023,Powys,4,Electric only,4048
W06000023,Powys,5,Oil only,16677
W06000023,Powys,6,Wood only,950
W06000023,Powys,7,Solid fuel only,623
W06000023,Powys,8,Renewable energy only,936
W06000023,Powys,9,District or communal heat networks only,96
W06000023,Powys,10,Other central heating only,239
W06000023,Powys,11,Two or more types of central heating (not including renewable energy),8570
W06000023,Powys,12,Two or more types of central heating (including renewable energy),909
W06000024,Merthyr Tydfil,-9,Does not apply,0
W06000024,Merthyr Tydfil,1,No central heating,206
W06000024,Merthyr Tydfil,2,Mains gas only,21737
W06000024,Merthyr Tydfil,3,Tank or bottled gas only,188
W06000024,Merthyr Tydfil,4,Electric only,663
W06000024,Merthyr Tydfil,5,Oil only,179
W06000024,Merthyr Tydfil,6,Wood only,15
W06000024,Merthyr Tydfil,7,Solid fuel only,144
W06000024,Merthyr Tydfil,8,Renewable energy only,44
W06000024,Merthyr Tydfil,9,District or communal heat networks only,106
W06000024,Merthyr Tydfil,10,Other central heating only,241
W06000024,Merthyr Tydfil,11,Two or more types of central heating (not including renewable energy),2160
W06000024,Merthyr Tydfil,12,Two or more types of central heating (including renewable energy),100
