RegName,energy_cost,weight
Orkney Islands,4831.183090909091,40.09
Dumfries and Galloway,3120.6286,247.58
Orkney Islands,6717.5977,47.24
Aberdeenshire,8341.622,506.3
Na h-Eileanan Siar,6155.982599999999,43.9
Midlothian,3562.9176136363635,152.11
Dumfries and Galloway,3312.2480454545453,258.72
Glasgow City,2462.7419318181815,461.49
East Ayrshire,8341.622,195.26
Inverclyde,4748.603318181818,163.99
Glasgow City,2462.7419318181815,541.74
Shetland Islands,11514.816954545453,38.82
Na h-Eileanan Siar,5279.244954545454,43.9
Aberdeenshire,8341.622,454.17
North Ayrshire,16859.592954545453,314.35
Orkney Islands,7551.25425,43.74
Highland,4341.0966,355.68
Perth and Kinross,8472.684681818182,286.32
Scottish Borders,7470.423999999999,315.53
Fife,5548.028795454545,365.41
Dumfries and Galloway,4049.5549999999994,270.09
"Edinburgh, City of",2462.7419318181815,385.64
Moray,2201.17798,229.08
Scottish Borders,7057.927,353.05
Na h-Eileanan Siar,3919.732,51.53
Shetland Islands,8598.579399999999,38.82
Shetland Islands,7395.5391,34.01
Orkney Islands,4731.619999999999,47.24
Glasgow City,2462.7419318181815,398.5
Na h-Eileanan Siar,4811.4908,46.23
Aberdeenshire,8451.8506,454.17
"Edinburgh, City of",2610.319977272727,452.69
Orkney Islands,2462.7419318181815,48.43
Orkney Islands,4243.6964,40.24
Stirling,5031.82,184.47
Highland,9927.687,427.01
Shetland Islands,10365.892568181818,36.07
Highland,6381.28534090909,363.75
Dumfries and Galloway,7063.2937999999995,259.74
Na h-Eileanan Siar,9580.585568181818,46.4
Aberdeenshire,5806.0536,465.63
Shetland Islands,6994.5067500000005,40.63
Argyll and Bute,4699.588227272728,179.76
Shetland Islands,5682.55390909091,39.8
Highland,6813.2692,383.04
Glasgow City,2462.7419318181815,428.81
Aberdeen City,4463.037136363636,492.7
Orkney Islands,7752.9087272727265,44.66
"Edinburgh, City of",2462.7419318181815,385.64
"Edinburgh, City of",2740.8492954545454,333.0
South Ayrshire,8341.622,186.65
Shetland Islands,7345.345799999999,33.07
Dumfries and Galloway,7901.6736,259.74
Shetland Islands,3510.8884,38.82
Orkney Islands,7960.456399999999,47.24
Moray,1378.17914,270.17
Argyll and Bute,7488.217,173.86
Na h-Eileanan Siar,5570.671636363636,52.83
Clackmannanshire,8084.2166,101.34
Na h-Eileanan Siar,6903.669,50.85
Shetland Islands,13574.249931818182,36.07
Dumfries and Galloway,11438.89684090909,290.63
Dumfries and Galloway,4054.6952,240.49
Perth and Kinross,4390.313659090909,283.12
Argyll and Bute,5771.526954545454,168.65
West Lothian,4297.877590909091,304.17
Argyll and Bute,4048.273568181818,186.74
Na h-Eileanan Siar,4769.7101999999995,47.89
Na h-Eileanan Siar,3713.159522727273,43.73
Dundee City,2462.7419318181815,325.71
Midlothian,4215.46408,137.5
Aberdeenshire,3349.3016,425.24
Shetland Islands,10784.119159090907,39.8
Dumfries and Galloway,2476.7855999999997,220.45
Na h-Eileanan Siar,2990.1869318181816,55.48
South Ayrshire,2138.5868,183.09
Perth and Kinross,1544.897,244.96
Shetland Islands,2544.4399000000003,40.91
Renfrewshire,5545.897704545454,405.59
Scottish Borders,5100.66,294.15
Aberdeenshire,1152.0875,467.89
Na h-Eileanan Siar,3573.5730681818177,47.71
Dumfries and Galloway,4864.215,264.48
Dumfries and Galloway,7997.096799999999,259.74
Falkirk,6802.175795454545,324.87
Scottish Borders,6923.1903999999995,295.24
Shetland Islands,6140.738454545454,34.85
Glasgow City,2462.7419318181815,461.49
Na h-Eileanan Siar,8598.579399999999,45.14
Shetland Islands,3442.4842,39.8
East Lothian,6518.6941235294125,174.49
Glasgow City,2462.7419318181815,365.29
Argyll and Bute,7665.001227272727,159.58
Dumfries and Galloway,10514.802545454544,277.59
Argyll and Bute,5017.809201176471,155.16
Dumfries and Galloway,2420.2434,277.59
South Ayrshire,4551.743795454545,203.35
Argyll and Bute,3038.935636363636,202.83
Na h-Eileanan Siar,6835.807,43.9
Argyll and Bute,6151.926681818182,156.54
Stirling,2462.7419318181815,134.94
Na h-Eileanan Siar,8341.622,47.89
Na h-Eileanan Siar,4592.7028,43.9
Argyll and Bute,3634.99175,158.99
"Edinburgh, City of",3277.8842045454544,385.64
Midlothian,2733.75802,129.63
Highland,8598.579399999999,385.89
Na h-Eileanan Siar,8038.3502,47.89
Aberdeen City,2462.7419318181815,419.71
Highland,7877.5383999999995,398.29
North Ayrshire,5403.799999999999,324.45
Shetland Islands,8440.451931818181,35.71
Dumfries and Galloway,4560.0163999999995,259.74
Dumfries and Galloway,10719.653659090907,297.97
Glasgow City,4500.597613636363,474.61
Glasgow City,3764.838477272727,409.01
Orkney Islands,5225.9676818181815,43.74
Na h-Eileanan Siar,5424.3608,43.9
Argyll and Bute,5550.15272,158.99
Perth and Kinross,5467.8465,257.81
Aberdeenshire,5593.314477272726,475.81
Aberdeenshire,8341.622,508.18
Perth and Kinross,5317.870977272727,276.78
Shetland Islands,8394.36709090909,37.88
Orkney Islands,6285.1466,43.9
Glasgow City,2462.7419318181815,461.49
Glasgow City,11624.834522727271,428.81
West Lothian,3319.97325,357.06
Argyll and Bute,6111.4359545454545,190.68
Stirling,4516.048022727273,170.48
Dumfries and Galloway,4413.0556,272.12
East Renfrewshire,5477.170022727272,207.61
Moray,8961.770045454545,222.13
Glasgow City,3517.099159090909,398.5
Shetland Islands,6912.420939999999,43.22
Aberdeen City,1841.2115199999998,371.98
Scottish Borders,6443.306599999999,289.41
North Ayrshire,4868.210795454545,289.74
Inverclyde,2743.513159090909,155.36
Perth and Kinross,11766.552068181818,308.1
Aberdeen City,2462.7419318181815,362.43
Shetland Islands,6302.701363636363,38.02
Shetland Islands,4208.2422,33.07
Angus,8341.622,270.6
Clackmannanshire,2965.9457727272725,106.73
Highland,4259.3805999999995,392.71
Dumfries and Galloway,4327.27686,246.66
Falkirk,4583.976545454545,287.1
Aberdeenshire,4466.766545454545,413.48
Orkney Islands,4192.38859090909,44.16
Shetland Islands,7485.989590909091,33.27
Dundee City,1009.3690999999999,277.46
Angus,5621.285045454545,262.9
Shetland Islands,4626.331977272727,33.07
Argyll and Bute,4640.35935,170.54
Scottish Borders,6462.266795454545,277.24
Moray,8345.884772727273,221.49
Stirling,3533.2943999999998,153.78
Glasgow City,3612.465477272727,461.49
Highland,9116.00775,394.31
