RegName,energy_cost,weight
Shetland Islands,4464.937524000001,43.22
Aberdeen City,988.9049599999998,371.98
Scottish Borders,3632.3041,289.41
North Ayrshire,2673.1340909090904,289.74
Inverclyde,1506.462818181818,155.36
Perth and Kinross,6461.0126363636355,308.1
Aberdeen City,1352.2913636363635,362.43
Shetland Islands,3460.812727272727,38.02
Shetland Islands,2372.3247,33.07
Angus,4702.447,270.6
Clackmannanshire,1628.6005454545452,106.73
Highland,2401.1531,392.71
Dumfries and Galloway,2795.116356,246.66
Falkirk,2517.0610909090906,287.1
Aberdeenshire,2452.7010909090905,413.48
Orkney Islands,2302.0401818181817,44.16
Shetland Islands,4110.556181818181,33.27
Dundee City,542.1268,277.46
Angus,3086.647090909091,262.9
Shetland Islands,2540.318454545454,33.07
Argyll and Bute,3095.9325099999996,170.54
Scottish Borders,3548.4300909090903,277.24
Moray,4582.724545454545,221.49
Stirling,1991.8344000000002,153.78
Glasgow City,1983.6044545454545,461.49
Highland,5005.598999999999,394.31
Argyll and Bute,542.1268,182.95
Na h-Eileanan Siar,2841.9007,45.14
Perth and Kinross,2808.1438181818176,294.28
Aberdeenshire,4702.447,386.89
Moray,1914.1165999999998,222.19
Scottish Borders,3806.0163636363627,302.69
South Lanarkshire,2002.7661818181814,400.66
Shetland Islands,5554.0772400000005,38.82
Fife,4134.1263,417.42
Orkney Islands,1720.459818181818,40.48
Stirling,1352.2913636363635,185.98
Na h-Eileanan Siar,1711.9463,52.83
Aberdeenshire,4702.447,472.26
Angus,2097.8605,245.99
Highland,2345.0566,334.34
Shetland Islands,7058.682999999999,35.94
East Lothian,3012.9393,191.06
"Edinburgh, City of",2481.370545454545,341.78
Stirling,4666.595662352941,165.48
North Ayrshire,3949.0176052941174,318.72
Aberdeenshire,542.1268,404.03
Fife,4702.447,417.42
Argyll and Bute,1696.8634,158.99
Dundee City,3483.338727272727,245.91
Aberdeen City,3132.869272727273,341.67
Dundee City,2106.4735454545453,250.09
"Edinburgh, City of",1352.2913636363635,351.5
Argyll and Bute,5085.463909090909,194.66
Dumfries and Galloway,1885.4554545454544,272.12
Aberdeenshire,3487.0476000000003,399.05
Argyll and Bute,3420.0026363636357,163.4
West Lothian,2871.5464,356.03
Orkney Islands,5526.476181818181,49.6
Highland,5191.804181818182,419.82
Aberdeen City,542.1268,332.23
Perth and Kinross,4702.447,234.56
Argyll and Bute,2221.736454545454,196.11
West Dunbartonshire,567.51792,211.6
South Ayrshire,7350.643363636363,238.38
Na h-Eileanan Siar,3255.6031000000003,51.53
Angus,4370.336556,263.94
Shetland Islands,2069.9053636363633,46.81
Argyll and Bute,3966.483444,182.15
Falkirk,1591.5935454545452,344.61
Argyll and Bute,1352.2913636363635,167.71
Shetland Islands,4226.7041,36.07
Na h-Eileanan Siar,1816.9998181818178,51.18
Orkney Islands,3792.4948999999997,47.24
South Lanarkshire,1576.3811818181819,485.13
North Ayrshire,2741.589727272727,330.6
Stirling,4702.447,140.96
Stirling,2910.1283633333333,176.85
West Dunbartonshire,2126.6591818181814,229.06
Aberdeenshire,3566.2514,432.9
Falkirk,1693.8381818181817,370.82
Shetland Islands,4702.447,38.82
Aberdeen City,1038.1266566666666,341.67
Orkney Islands,1352.2913636363635,51.76
Shetland Islands,4170.957134705883,34.01
Glasgow City,1352.2913636363635,461.49
Argyll and Bute,3544.4072,168.2
Dumfries and Galloway,4331.372892,260.5
Shetland Islands,2740.8583636363633,35.94
Highland,4702.447,382.74
Aberdeenshire,2726.523636363636,485.38
West Lothian,2662.253772,291.63
Orkney Islands,1883.7278999999999,48.43
Glasgow City,1352.2913636363635,555.41
Shetland Islands,2792.492636363636,39.8
"Edinburgh, City of",1352.2913636363635,385.64
Orkney Islands,9257.600909090908,47.24
Aberdeenshire,3746.3370909090904,385.46
North Lanarkshire,1426.012818181818,395.11
Na h-Eileanan Siar,4599.399636363635,47.89
Clackmannanshire,1528.1111818181816,104.41
Fife,2811.0662,387.92
South Lanarkshire,1617.7763636363634,395.2
Glasgow City,1717.680636363636,398.5
Na h-Eileanan Siar,4702.447,45.14
Aberdeenshire,3498.258545454545,391.45
Shetland Islands,2294.9041,38.82
Highland,3769.295712,409.09
Midlothian,2920.598543333333,162.25
Shetland Islands,4506.077636363636,35.94
Argyll and Bute,5016.626005882354,182.15
Aberdeenshire,4552.007272727273,413.48
